Aika,kWh
2021-12-26 20:00:00,113
2021-12-26 21:00:00,120
2021-12-26 22:00:00,115
2021-12-26 23:00:00,120
2021-12-27 00:00:00,116
2021-12-27 01:00:00,120
2021-12-27 02:00:00,111
2021-12-27 03:00:00,111
2021-12-27 04:00:00,108
2021-12-27 05:00:00,109
2021-12-27 06:00:00,109
2021-12-27 07:00:00,104
2021-12-27 08:00:00,111
2021-12-27 09:00:00,113
2021-12-27 10:00:00,118
2021-12-27 11:00:00,117
2021-12-27 12:00:00,113
2021-12-27 13:00:00,111
2021-12-27 14:00:00,109
2021-12-27 15:00:00,113
2021-12-27 16:00:00,107
2021-12-27 17:00:00,114
2021-12-27 18:00:00,113
2021-12-27 19:00:00,111
2021-12-27 20:00:00,109
2021-12-27 21:00:00,110
2021-12-27 22:00:00,112
2021-12-27 23:00:00,117
2021-12-28 00:00:00,123
2021-12-28 01:00:00,122
2021-12-28 02:00:00,134
2021-12-28 03:00:00,127
2021-12-28 04:00:00,128
2021-12-28 05:00:00,123
2021-12-28 06:00:00,123
2021-12-28 07:00:00,120
2021-12-28 08:00:00,122
2021-12-28 09:00:00,118
2021-12-28 10:00:00,114
2021-12-28 11:00:00,112
2021-12-28 12:00:00,105
2021-12-28 13:00:00,102
2021-12-28 14:00:00,95
2021-12-28 15:00:00,96
2021-12-28 16:00:00,87
2021-12-28 17:00:00,92
2021-12-28 18:00:00,90
2021-12-28 19:00:00,85
2021-12-28 20:00:00,91
2021-12-28 21:00:00,89
2021-12-28 22:00:00,91
2021-12-28 23:00:00,92
2021-12-29 00:00:00,91
2021-12-29 01:00:00,93
2021-12-29 02:00:00,90
2021-12-29 03:00:00,95
2021-12-29 04:00:00,90
2021-12-29 05:00:00,90
2021-12-29 06:00:00,92
2021-12-29 07:00:00,89
2021-12-29 08:00:00,96
2021-12-29 09:00:00,96
2021-12-29 10:00:00,101
2021-12-29 11:00:00,98
2021-12-29 12:00:00,96
2021-12-29 13:00:00,97
2021-12-29 14:00:00,91
2021-12-29 15:00:00,92
2021-12-29 16:00:00,85
2021-12-29 17:00:00,89
2021-12-29 18:00:00,91
2021-12-29 19:00:00,90
2021-12-29 20:00:00,85
2021-12-29 21:00:00,84
2021-12-29 22:00:00,88
2021-12-29 23:00:00,84
2021-12-30 00:00:00,89
2021-12-30 01:00:00,83
2021-12-30 02:00:00,87
2021-12-30 03:00:00,85
2021-12-30 04:00:00,85
2021-12-30 05:00:00,87
2021-12-30 06:00:00,85
2021-12-30 07:00:00,88
2021-12-30 08:00:00,87
2021-12-30 09:00:00,94
2021-12-30 10:00:00,89
2021-12-30 11:00:00,89
